"id","favors","slavery","deserve","harder","rr_all","rr","notes","valid_items"
304482250,0.75,0.5,0.75,0.75,0.6875,0.6875,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302845875,0.25,0.25,0.5,0.25,0.3125,0.3125,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302624351,0.5,0.25,0.5,0.25,0.375,0.375,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302514042,1,0.75,0.75,0.75,0.8125,0.8125,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302521202,0.25,0,0.25,0,0.125,0.125,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
303381175,0.75,0.5,0.75,0.5,0.625,0.625,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302450063,1,1,1,0.75,0.9375,0.9375,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302614911,1,0.75,0.5,0.75,0.75,0.75,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302823379,0.5,0.75,0.75,0.25,0.5625,0.5625,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
303404702,1,0.75,0.5,0.75,0.75,0.75,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302540716,0.5,0.25,0.75,0.5,0.5,0.5,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
304310361,1,0.5,1,0.75,0.8125,0.8125,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302586610,0.25,0.75,0.5,0.25,0.4375,0.4375,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302482893,1,0.75,0.75,1,0.875,0.875,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302548155,0.5,0.25,0.5,0.25,0.375,0.375,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
302544101,0.5,0.75,0.5,0.5,0.5625,0.5625,"delaware-d 2016 module; 5-point, using (dis)agree not somewhat (dis)agree; special favors not included in favors item, see codebook",4
